Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Expertise level: ranges from 0 (none) to 2(has used abacus)
0,1,84,1,2,0,1.09,0,0,2,329,1,IN/Out,0
1,3,18,1,7,1,1.4,0,0,3,329,1,leading/trailing,0
1,3,19,1,6,1,2.98,0,0,3,329,1,leading/trailing,0
1,1,73,1,3,1,1.27,0,0,2,329,1,IN/Out,0
1,2,415,3,7,1,0.931,0,0,3,329,1,IN/Out,0
0,3,67,1,1,1,1.83,0,0,3,329,1,leading/trailing,0
1,1,895,1,5,1,0.631,0,0,3,329,1,IN/Out,0
1,1,20,1,3,1,1.41,0,0,2,329,1,IN/Out,0
1,2,50,2,7,1,0.791,0,0,2,329,1,IN/Out,0
1,4,60,2,6,1,0.797,0,0,2,329,1,leading/trailing,0
0,3,5,1,1,1,1.76,0,0,2,329,1,leading/trailing,0
1,3,4,1,7,1,1.83,0,0,2,329,1,leading/trailing,0
1,1,53,2,3,1,1.29,0,0,2,329,1,IN/Out,0
1,1,4,2,3,1,0.603,0,0,2,329,1,IN/Out,0
1,1,535,2,3,1,0.595,0,0,3,329,1,IN/Out,0
1,4,770,3,5,1,0.689,0,0,3,329,1,leading/trailing,0
0,1,56,1,2,1,1.05,0,0,2,329,1,IN/Out,0
0,4,90,2,1,1,0.733,0,0,2,329,1,leading/trailing,0
1,4,30,2,4,1,0.712,0,0,2,329,1,leading/trailing,0
1,2,21,2,7,1,0.809,0,0,2,329,1,IN/Out,0
1,1,961,1,4,1,1.04,0,0,3,329,1,IN/Out,0
0,4,260,3,1,1,1.71,0,0,3,329,1,leading/trailing,0
1,4,350,3,6,1,1.34,0,0,3,329,1,leading/trailing,0
0,2,9,1,1,1,1.5,0,0,2,329,1,IN/Out,0
1,4,60,2,5,1,1.32,0,0,2,329,1,leading/trailing,0
1,1,21,1,4,1,1.26,0,0,2,329,1,IN/Out,0
0,3,56,1,1,1,1.22,0,0,3,329,1,leading/trailing,0
1,3,51,1,7,1,0.869,0,0,3,329,1,leading/trailing,0
1,2,26,1,6,1,1.24,0,0,2,329,1,IN/Out,0
1,1,87,2,5,1,0.941,0,0,3,329,1,IN/Out,0
1,2,62,2,5,1,0.763,0,0,3,329,1,IN/Out,0
0,3,9,1,1,1,0.932,0,0,2,329,1,leading/trailing,0
1,2,79,1,6,1,0.908,0,0,2,329,1,IN/Out,0
1,2,313,2,7,1,1.01,0,0,3,329,1,IN/Out,0
1,2,42,2,6,1,0.66,0,0,2,329,1,IN/Out,0
0,2,560,3,1,1,1.5,0,0,3,329,1,IN/Out,0
1,3,68,1,4,1,1.67,0,0,3,329,1,leading/trailing,0
1,2,964,2,7,1,1.19,0,0,3,329,1,IN/Out,0
1,2,36,2,7,1,1.38,0,0,2,329,1,IN/Out,0
1,4,50,2,7,1,0.938,0,0,2,329,1,leading/trailing,0
1,4,810,3,7,1,0.657,0,0,3,329,1,leading/trailing,0
0,1,317,3,2,1,3.12,0,0,3,330,1,IN/Out,1
1,2,733,3,7,1,2.89,0,0,3,330,1,IN/Out,1
1,4,310,3,6,1,1.14,0,0,3,330,1,leading/trailing,1
1,1,173,3,5,1,1.04,0,0,3,330,1,IN/Out,1
0,3,86,1,1,1,0.809,0,0,3,330,1,leading/trailing,1
1,2,53,1,5,1,1.46,0,0,2,330,1,IN/Out,1
1,3,83,1,4,1,0.83,0,0,3,330,1,leading/trailing,1
1,4,30,2,7,1,1.39,0,0,2,330,1,leading/trailing,1
1,1,109,3,6,1,2.72,0,0,3,330,1,IN/Out,1
0,3,3,1,1,1,1.16,0,0,2,330,1,leading/trailing,1
1,3,96,1,6,1,1.29,0,0,3,330,1,leading/trailing,1
1,4,90,2,7,1,1.14,0,0,2,330,1,leading/trailing,1
1,1,20,1,4,1,0.793,0,0,2,330,1,IN/Out,1
1,4,130,3,7,1,1,0,0,3,330,1,leading/trailing,1
1,2,91,2,5,1,1.14,0,0,2,330,1,IN/Out,1
1,4,220,3,7,1,1.07,0,0,3,330,1,leading/trailing,1
1,1,7,2,3,1,1.11,0,0,2,330,1,IN/Out,1
1,3,38,1,5,1,1.05,0,0,3,330,1,leading/trailing,1
0,1,645,1,2,1,0.848,0,0,3,330,1,IN/Out,1
1,2,933,3,7,1,0.798,0,0,3,330,1,IN/Out,1
1,2,16,2,5,1,1.14,0,0,2,330,1,IN/Out,1
0,3,43,1,1,1,2.74,0,0,3,330,1,leading/trailing,1
0,2,971,3,1,1,1.45,0,0,3,330,1,IN/Out,1
1,1,375,2,4,1,1.01,0,0,3,330,1,IN/Out,1
1,3,22,1,4,1,0.91,0,0,3,330,1,leading/trailing,1
0,3,77,1,1,1,2.08,0,0,3,330,1,leading/trailing,1
0,4,280,3,1,1,0.74,0,0,3,330,1,leading/trailing,1
1,1,534,3,5,1,1.15,0,0,3,330,1,IN/Out,1
1,3,6,1,6,1,1.49,0,0,2,330,1,leading/trailing,1
1,2,66,1,7,1,1.35,0,0,2,330,1,IN/Out,1
1,1,75,1,4,1,2.81,0,0,2,330,1,IN/Out,1
1,3,11,1,7,1,1.62,0,0,3,330,1,leading/trailing,1
1,2,307,2,4,1,1.28,0,0,3,330,1,IN/Out,1
1,4,20,2,5,1,3.02,0,0,2,330,1,leading/trailing,1
0,4,310,3,1,1,0.877,0,0,3,330,1,leading/trailing,1
1,3,7,1,6,1,1.03,0,0,2,330,1,leading/trailing,1
1,4,850,3,5,1,1.39,0,0,3,330,1,leading/trailing,1
0,2,519,2,1,1,1.93,0,0,3,330,1,IN/Out,1
0,1,755,3,2,1,0.673,0,0,3,330,1,IN/Out,1
1,4,790,3,7,1,1.54,0,0,3,330,1,leading/trailing,1
0,4,240,3,1,1,1.65,0,0,3,330,1,leading/trailing,1
0,4,30,2,1,1,0.755,0,0,2,330,1,leading/trailing,1
1,3,73,1,7,1,1.48,0,0,3,330,1,leading/trailing,1
1,1,89,2,3,1,0.961,0,0,2,330,1,IN/Out,1
1,3,6,1,4,1,1.28,0,0,2,330,1,leading/trailing,1
0,3,6,1,1,1,0.991,0,0,2,330,1,leading/trailing,1
1,2,804,2,7,1,1.81,0,0,3,330,1,IN/Out,1
0,1,17,2,2,1,1.16,0,0,2,330,1,IN/Out,1
1,4,70,2,4,1,2.4,0,0,2,330,1,leading/trailing,1
1,3,9,1,5,1,1.51,0,0,2,330,1,leading/trailing,1
0,3,3,1,1,1,4.83,0,0,2,330,1,leading/trailing,1
1,4,10,2,7,1,2.35,0,0,2,330,1,leading/trailing,1
1,4,760,3,4,1,3.3,0,0,3,330,1,leading/trailing,1
1,2,63,1,6,1,1.21,0,0,2,330,1,IN/Out,1
1,4,50,2,6,1,1.78,0,0,2,330,1,leading/trailing,1
1,2,768,3,7,1,0.925,0,0,3,330,1,IN/Out,1
1,2,399,1,7,1,1.22,0,0,3,330,1,IN/Out,1
1,1,918,1,3,1,1.25,0,0,3,330,1,IN/Out,1
1,3,9,1,5,1,1.21,0,0,2,330,1,leading/trailing,1
1,2,778,2,6,1,1.33,0,0,3,330,1,IN/Out,1
0,2,93,2,1,1,1.32,0,0,2,330,1,IN/Out,1
1,3,35,1,6,1,1.79,0,0,3,330,1,leading/trailing,1
1,1,630,2,3,1,0.799,0,0,3,330,1,IN/Out,1
0,4,20,2,1,1,0.999,0,0,2,330,1,leading/trailing,1
1,1,74,2,5,1,1.06,0,0,2,330,1,IN/Out,1
1,4,40,2,4,1,1.33,0,0,2,330,1,leading/trailing,1
1,1,404,3,6,1,2.42,0,0,3,330,1,IN/Out,1
1,3,7,1,7,1,2.87,0,0,2,330,1,leading/trailing,1
0,1,19,2,2,1,1.56,0,0,2,330,1,IN/Out,1
1,3,64,1,4,1,0.877,0,0,3,330,1,leading/trailing,1
1,1,25,1,3,1,0.81,0,0,2,330,1,IN/Out,1
1,2,8,1,7,1,1.27,0,0,2,330,1,IN/Out,1
1,4,30,2,5,1,1.26,0,0,2,330,1,leading/trailing,1
0,4,20,2,1,1,1.39,0,0,2,330,1,leading/trailing,1
1,1,66,1,3,1,1.64,0,0,2,330,1,IN/Out,1
0,2,37,1,1,1,0.986,0,0,2,330,1,IN/Out,1
1,2,304,1,7,1,1.54,0,0,3,330,1,IN/Out,1
1,1,853,1,4,1,1.05,0,0,3,330,1,IN/Out,1
1,1,56,2,3,1,0.733,0,0,2,330,1,IN/Out,1
0,1,26,2,2,1,2.38,0,0,2,330,1,IN/Out,1
1,1,366,3,3,1,1.54,0,0,3,330,1,IN/Out,1
0,2,2,3,1,1,1.03,0,0,3,330,1,IN/Out,1
1,2,33,1,7,1,0.963,0,0,2,330,1,IN/Out,1
0,2,80,2,1,1,1.9,0,0,2,330,1,IN/Out,1
1,1,887,2,5,1,0.996,0,0,3,330,1,IN/Out,1
1,1,669,1,3,1,1.59,0,0,3,330,1,IN/Out,1
1,2,37,2,7,1,1.67,0,0,3,330,1,IN/Out,1
1,2,4,1,5,1,1.79,0,0,2,330,1,IN/Out,1
1,3,75,1,4,1,0.724,0,0,3,330,1,leading/trailing,1
1,4,30,2,7,1,1.2,0,0,2,330,1,leading/trailing,1
1,4,940,3,5,1,1.39,0,0,3,330,1,leading/trailing,1
1,2,87,2,7,1,1.03,0,0,2,330,1,IN/Out,1
1,3,7,1,4,1,1.11,0,0,2,330,1,leading/trailing,1
1,3,9,1,7,1,0.889,0,0,2,330,1,leading/trailing,1
1,2,27,3,6,1,1,0,0,3,330,1,IN/Out,1
1,1,13,2,4,1,1.22,0,0,2,330,1,IN/Out,1
1,3,7,1,7,1,0.864,0,0,2,330,1,leading/trailing,1
1,1,903,1,6,1,0.913,0,0,3,330,1,IN/Out,1
0,3,65,1,1,1,1.2,0,0,3,330,1,leading/trailing,1
0,2,3,2,1,1,0.736,0,0,2,330,1,IN/Out,1
0,2,362,3,1,1,0.809,0,0,3,330,1,IN/Out,1
1,3,8,1,6,1,1.48,0,0,2,330,1,leading/trailing,1
0,4,80,2,1,1,0.971,0,0,2,330,1,leading/trailing,1
0,1,49,2,2,1,1.22,0,0,2,330,1,IN/Out,1
1,4,450,3,6,1,0.904,0,0,3,330,1,leading/trailing,1
1,4,640,3,7,1,2.11,0,0,3,330,1,leading/trailing,1
1,2,482,2,7,1,2.28,0,0,3,330,1,IN/Out,1
1,1,98,1,5,1,1.1,0,0,2,330,1,IN/Out,1
1,3,27,1,5,1,0.72,0,0,3,330,1,leading/trailing,1
1,4,30,2,6,1,1.15,0,0,2,330,1,leading/trailing,1
1,4,40,2,5,1,1.61,0,0,2,330,1,leading/trailing,1
0,4,890,3,1,1,1.2,0,0,3,330,1,leading/trailing,1
0,1,907,3,2,1,0.917,0,0,3,330,1,IN/Out,1
0,3,4,1,1,1,1.2,0,0,2,330,1,leading/trailing,1
1,4,930,3,6,1,1.22,0,0,3,330,1,leading/trailing,1
1,3,8,1,6,1,1.2,0,0,2,330,1,leading/trailing,1
1,2,29,1,6,1,0.746,0,0,2,330,1,IN/Out,1
1,2,445,3,5,1,0.952,0,0,3,330,1,IN/Out,1
1,1,86,1,4,1,0.683,0,0,2,330,1,IN/Out,1
1,3,43,1,5,1,1.68,0,0,3,330,1,leading/trailing,1
1,1,27,1,4,1,0.918,0,0,2,330,1,IN/Out,1
1,2,31,2,6,1,0.872,0,0,2,330,1,IN/Out,1
1,4,120,3,4,1,0.746,0,0,3,330,1,leading/trailing,1
1,2,41,2,5,1,1.67,0,0,2,330,1,IN/Out,1
1,4,20,2,4,1,0.924,0,0,2,330,1,leading/trailing,1
1,3,4,1,6,1,1.41,0,0,2,330,1,leading/trailing,1
1,3,91,1,7,1,1.67,0,0,3,330,1,leading/trailing,1
1,4,960,3,6,1,0.862,0,0,3,330,1,leading/trailing,1
1,2,700,3,7,1,6.64,0,0,3,331,1,IN/Out,1
1,4,260,3,4,1,0.91,0,0,3,331,1,leading/trailing,1
1,2,5,1,5,1,1.05,0,0,2,331,1,IN/Out,1
1,4,50,2,6,1,0.763,0,0,2,331,1,leading/trailing,1
1,4,430,3,4,1,1.04,0,0,3,331,1,leading/trailing,1
1,1,54,3,3,1,0.809,0,0,3,331,1,IN/Out,1
1,3,2,1,7,1,1.3,0,0,2,331,1,leading/trailing,1
0,2,25,1,1,1,2.39,0,0,2,331,1,IN/Out,1
0,3,5,1,1,1,1.08,0,0,2,331,1,leading/trailing,1
1,1,30,1,3,1,0.869,0,0,2,331,1,IN/Out,1
1,3,8,1,4,1,1.14,0,0,2,331,1,leading/trailing,1
1,4,490,3,6,1,1.08,0,0,3,331,1,leading/trailing,1
1,4,60,2,7,1,0.94,0,0,2,331,1,leading/trailing,1
1,2,129,2,7,1,1.04,0,0,3,331,1,IN/Out,1
1,3,81,1,4,1,0.77,0,0,3,331,1,leading/trailing,1
1,2,941,3,6,1,0.881,0,0,3,331,1,IN/Out,1
1,3,3,1,7,1,1.26,0,0,2,331,1,leading/trailing,1
0,2,389,1,1,1,2.15,0,0,3,331,1,IN/Out,1
1,2,781,1,7,1,1.51,0,0,3,331,1,IN/Out,1
1,1,83,2,5,1,1.49,0,0,2,331,1,IN/Out,1
0,1,692,2,2,1,1.34,0,0,3,331,1,IN/Out,1
1,2,227,3,7,1,1.03,0,0,3,331,1,IN/Out,1
1,1,211,1,3,1,1.63,0,0,3,331,1,IN/Out,1
1,2,27,2,7,1,1.19,0,0,2,331,1,IN/Out,1
1,1,630,2,5,1,0.939,0,0,3,331,1,IN/Out,1
1,3,42,1,6,1,1.36,0,0,3,331,1,leading/trailing,1
1,2,68,1,7,1,0.845,0,0,2,331,1,IN/Out,1
1,3,38,1,4,1,1.78,0,0,3,331,1,leading/trailing,1
1,1,726,3,3,1,1.51,0,0,3,331,1,IN/Out,1
0,2,26,1,1,1,2.02,0,0,2,331,1,IN/Out,1
0,3,99,1,1,1,0.922,0,0,3,331,1,leading/trailing,1
0,2,22,2,1,1,1.06,0,0,2,331,1,IN/Out,1
1,1,59,2,5,1,0.927,0,0,2,331,1,IN/Out,1
0,1,75,2,2,1,1.46,0,0,2,331,1,IN/Out,1
1,2,95,2,4,1,0.804,0,0,2,331,1,IN/Out,1
1,2,612,3,7,1,0.937,0,0,3,331,1,IN/Out,1
1,2,179,1,7,1,1.03,0,0,3,331,1,IN/Out,1
0,2,731,3,1,1,1.43,0,0,3,331,1,IN/Out,1
1,4,660,3,4,1,1.27,0,0,3,331,1,leading/trailing,1
1,2,338,2,7,1,1.33,0,0,3,331,1,IN/Out,1
0,1,592,2,2,1,1.13,0,0,3,331,1,IN/Out,1
1,1,618,3,4,1,1.12,0,0,3,331,1,IN/Out,1
1,2,894,1,7,1,1.61,0,0,3,331,1,IN/Out,1
1,1,18,2,5,1,1.21,0,0,2,331,1,IN/Out,1
0,4,50,2,1,1,1.21,0,0,2,331,1,leading/trailing,1
0,2,19,1,1,1,1.56,0,0,2,331,1,IN/Out,1
0,3,6,1,1,1,1.15,0,0,2,331,1,leading/trailing,1
1,2,577,1,7,1,1.96,0,0,3,331,1,IN/Out,1
1,3,99,1,7,1,0.865,0,0,3,331,1,leading/trailing,1
1,4,70,2,7,1,1.11,0,0,2,331,1,leading/trailing,1
1,4,270,3,5,1,0.884,0,0,3,331,1,leading/trailing,1
1,3,9,1,6,1,1.54,0,0,2,331,1,leading/trailing,1
0,3,56,1,1,1,1.04,0,0,3,331,1,leading/trailing,1
1,1,35,1,4,1,1.39,0,0,2,331,1,IN/Out,1
1,2,85,2,7,1,1.33,0,0,2,331,1,IN/Out,1
0,2,563,3,1,1,2.08,0,0,3,331,1,IN/Out,1
1,2,53,1,6,1,3.15,0,0,2,331,1,IN/Out,1
0,4,250,3,1,1,0.835,0,0,3,331,1,leading/trailing,1
1,3,3,1,5,0,1.07,0,0,2,331,1,leading/trailing,1
1,2,3,1,4,1,1.3,0,0,2,331,1,IN/Out,1
1,4,30,2,4,1,0.893,0,0,2,331,1,leading/trailing,1
0,4,190,3,1,1,0.988,0,0,3,331,1,leading/trailing,1
1,4,70,2,5,1,1.12,0,0,2,331,1,leading/trailing,1
1,1,57,2,3,1,0.966,0,0,2,331,1,IN/Out,1
0,3,53,1,1,1,3.73,0,0,3,331,1,leading/trailing,1
1,2,71,2,7,1,1.34,0,0,2,331,1,IN/Out,1
0,1,58,1,2,1,0.98,0,0,2,331,1,IN/Out,1
1,1,27,2,3,1,1.79,0,0,3,331,1,IN/Out,1
0,1,28,2,2,1,1.69,0,0,2,331,1,IN/Out,1
1,1,446,2,3,1,1.17,0,0,3,331,1,IN/Out,1
0,3,2,1,1,1,1.83,0,0,2,331,1,leading/trailing,1
1,3,19,1,4,1,1.47,0,0,3,331,1,leading/trailing,1
1,1,882,3,4,1,0.936,0,0,3,331,1,IN/Out,1
1,3,2,1,6,1,1.68,0,0,2,331,1,leading/trailing,1
0,4,80,2,1,1,1.08,0,0,2,331,1,leading/trailing,1
1,1,909,3,4,1,1.25,0,0,3,331,1,IN/Out,1
0,1,858,3,2,1,0.742,0,0,3,331,1,IN/Out,1
1,4,910,3,5,1,1.15,0,0,3,331,1,leading/trailing,1
0,3,29,1,1,0,1.5,0,0,3,331,1,leading/trailing,1
1,1,609,3,4,1,0.557,0,0,3,331,1,IN/Out,1
0,4,90,2,1,1,1.29,0,0,2,331,1,leading/trailing,1
1,4,50,2,7,1,0.799,0,0,2,331,1,leading/trailing,1
1,3,2,1,5,1,1.62,0,0,2,331,1,leading/trailing,1
1,4,120,3,7,1,1.15,0,0,3,331,1,leading/trailing,1
1,1,494,1,4,1,0.957,0,0,3,331,1,IN/Out,1
1,3,67,1,6,1,1.32,0,0,3,331,1,leading/trailing,1
1,4,90,2,6,1,1.62,0,0,2,331,1,leading/trailing,1
1,2,67,1,6,0,1.17,0,0,2,331,1,IN/Out,1
1,2,91,2,6,1,1.67,0,0,2,331,1,IN/Out,1
1,1,99,2,4,1,1.1,0,0,2,331,1,IN/Out,1
1,1,49,1,5,1,1.32,0,0,2,331,1,IN/Out,1
1,4,980,3,6,1,1.29,0,0,3,331,1,leading/trailing,1
1,1,15,1,3,1,0.843,0,0,2,331,1,IN/Out,1
1,3,37,1,6,1,1.33,0,0,3,331,1,leading/trailing,1
1,2,18,1,6,1,1.02,0,0,2,331,1,IN/Out,1
0,1,166,3,2,1,1.26,0,0,3,331,1,IN/Out,1
1,1,18,2,5,1,2.12,0,0,2,331,1,IN/Out,1
1,4,40,2,4,1,0.981,0,0,2,331,1,leading/trailing,1
1,3,9,1,6,1,0.851,0,0,2,331,1,leading/trailing,1
1,2,174,1,7,1,1.28,0,0,3,331,1,IN/Out,1
0,3,8,1,1,1,1.18,0,0,2,331,1,leading/trailing,1
1,1,15,1,3,1,1.32,0,0,2,331,1,IN/Out,1
1,4,460,3,4,1,1.49,0,0,3,331,1,leading/trailing,1
1,3,6,1,4,1,1.17,0,0,2,331,1,leading/trailing,1
1,4,170,3,5,1,1,0,0,3,331,1,leading/trailing,1
0,4,850,3,1,1,0.948,0,0,3,331,1,leading/trailing,1
0,4,70,2,1,1,0.777,0,0,2,331,1,leading/trailing,1
1,2,79,1,6,1,1.61,0,0,2,331,1,IN/Out,1
1,3,8,1,5,1,1.32,0,0,2,331,1,leading/trailing,1
1,4,870,3,4,1,1.2,0,0,3,331,1,leading/trailing,1
1,3,57,1,5,1,1.06,0,0,3,331,1,leading/trailing,1
1,3,41,1,7,1,2.4,0,0,3,331,1,leading/trailing,1
1,4,40,2,6,1,1.48,0,0,2,331,1,leading/trailing,1
0,2,130,2,1,1,1.89,0,0,3,331,1,IN/Out,1
1,4,40,2,5,1,1.45,0,0,2,331,1,leading/trailing,1
1,2,339,2,7,1,3.14,0,0,3,331,1,IN/Out,1
1,3,76,1,6,1,1.12,0,0,3,331,1,leading/trailing,1
0,1,72,1,2,1,2.03,0,0,2,331,1,IN/Out,1
1,4,270,3,6,1,1.11,0,0,3,331,1,leading/trailing,1
0,4,850,3,1,1,0.798,0,0,3,331,1,leading/trailing,1
1,4,60,2,6,1,0.877,0,0,2,331,1,leading/trailing,1
1,1,522,3,3,1,0.645,0,0,3,331,1,IN/Out,1
1,3,35,1,5,1,1.68,0,0,3,331,1,leading/trailing,1
1,1,94,2,3,1,1.21,0,0,2,331,1,IN/Out,1
1,3,1,1,7,1,1.98,0,0,2,331,1,leading/trailing,1
1,3,3,1,7,1,0.869,0,0,2,331,1,leading/trailing,1
1,3,11,1,6,1,0.759,0,0,3,331,1,leading/trailing,1
1,4,30,2,6,1,1.57,0,0,2,331,1,leading/trailing,1
1,3,69,1,7,1,4.67,0,0,3,332,1,leading/trailing,0
1,2,54,1,6,1,2.66,0,0,2,332,1,IN/Out,0
1,2,61,2,5,1,1.07,0,0,2,332,1,IN/Out,0
1,1,12,2,3,1,1.67,0,0,2,332,1,IN/Out,0
0,3,5,1,1,1,1.52,0,0,2,332,1,leading/trailing,0
1,3,38,1,5,1,2.48,0,0,3,332,1,leading/trailing,0
0,3,49,1,1,1,1.61,0,0,3,332,1,leading/trailing,0
1,1,248,3,5,1,1.64,0,0,3,332,1,IN/Out,0
1,3,74,1,6,1,2.07,0,0,3,332,1,leading/trailing,0
0,1,536,3,2,1,1.81,0,0,3,332,1,IN/Out,0
1,2,50,1,6,1,2.08,0,0,2,332,1,IN/Out,0
1,3,8,1,7,1,1.47,0,0,2,332,1,leading/trailing,0
1,1,90,1,3,1,1.24,0,0,2,332,1,IN/Out,0
1,4,80,2,5,1,1.3,0,0,2,332,1,leading/trailing,0
1,4,40,2,5,1,2.3,0,0,2,332,1,leading/trailing,0
1,3,46,1,7,1,3.5,0,0,3,332,1,leading/trailing,0
1,2,47,2,7,1,1.77,0,0,2,332,1,IN/Out,0
1,4,30,2,6,1,1.75,0,0,2,332,1,leading/trailing,0
0,1,64,1,2,1,1.77,0,0,2,332,1,IN/Out,0
1,3,54,1,7,1,1.51,0,0,3,332,1,leading/trailing,0
1,1,8,2,3,1,0.923,0,0,2,332,1,IN/Out,0
1,4,440,3,5,1,0.725,0,0,3,332,1,leading/trailing,0
0,3,39,1,1,1,1.21,0,0,3,332,1,leading/trailing,0
1,4,270,3,5,1,2.56,0,0,3,332,1,leading/trailing,0
1,1,4,2,5,1,2.21,0,0,2,332,1,IN/Out,0
1,1,446,1,6,1,3.01,0,0,3,332,1,IN/Out,0
1,1,529,3,6,1,3.2,0,0,3,332,1,IN/Out,0
1,2,12,1,7,1,2.09,0,0,2,332,1,IN/Out,0
1,2,475,2,6,1,2.75,0,0,3,332,1,IN/Out,0
1,2,557,2,6,1,1.73,0,0,3,332,1,IN/Out,0
0,1,79,1,2,1,1.51,0,0,2,332,1,IN/Out,0
1,1,914,1,4,1,1.95,0,0,3,332,1,IN/Out,0
1,1,99,2,4,1,1.2,0,0,2,332,1,IN/Out,0
1,2,70,2,4,1,0.953,0,0,2,332,1,IN/Out,0
0,3,8,1,1,1,2.23,0,0,2,332,1,leading/trailing,0
1,4,440,3,6,1,1.81,0,0,3,332,1,leading/trailing,0
0,4,170,3,1,1,3.71,0,0,3,332,1,leading/trailing,0
1,3,3,1,6,1,1.17,0,0,2,332,1,leading/trailing,0
1,2,59,1,5,1,2.64,0,0,2,332,1,IN/Out,0
0,3,16,1,1,1,2.62,0,0,3,332,1,leading/trailing,0
1,3,91,1,6,1,1.4,0,0,3,332,1,leading/trailing,0
1,1,983,3,5,1,1.51,0,0,3,332,1,IN/Out,0
0,2,93,2,1,1,1.57,0,0,2,332,1,IN/Out,0
1,1,629,3,6,1,2.19,0,0,3,332,1,IN/Out,0
1,4,510,3,6,1,1.45,0,0,3,332,1,leading/trailing,0
1,3,67,1,7,1,2.12,0,0,3,332,1,leading/trailing,0
1,3,9,1,6,1,2.24,0,0,2,332,1,leading/trailing,0
1,3,25,1,7,0,2.21,0,0,3,332,1,leading/trailing,0
1,3,7,1,4,1,3.34,0,0,2,332,1,leading/trailing,0
0,3,8,1,1,1,3.27,0,0,2,332,1,leading/trailing,0
1,4,40,2,5,1,1.19,0,0,2,332,1,leading/trailing,0
1,2,39,1,7,1,1.08,0,0,2,332,1,IN/Out,0
0,2,26,1,1,1,2.25,0,0,2,332,1,IN/Out,0
1,1,3,2,3,1,1.26,0,0,2,332,1,IN/Out,0
1,4,850,3,4,1,0.812,0,0,3,332,1,leading/trailing,0
1,3,4,1,4,1,1.38,0,0,2,332,1,leading/trailing,0
1,4,10,2,5,1,1.98,0,0,2,332,1,leading/trailing,0
1,3,93,1,5,1,1.79,0,0,3,332,1,leading/trailing,0
0,2,25,2,1,1,1.45,0,0,3,332,1,IN/Out,0
1,1,51,2,3,1,1.54,0,0,2,332,1,IN/Out,0
0,4,30,2,1,1,1.63,0,0,2,332,1,leading/trailing,0
1,1,710,1,4,1,1.55,0,0,3,332,1,IN/Out,0
1,3,5,1,5,1,1.7,0,0,2,332,1,leading/trailing,0
1,2,61,1,7,1,2.07,0,0,2,332,1,IN/Out,0
0,2,32,1,1,1,1.9,0,0,3,332,1,IN/Out,0
1,2,573,1,5,1,1.08,0,0,3,332,1,IN/Out,0
0,1,923,1,2,1,2.94,0,0,3,332,1,IN/Out,0
1,3,93,1,4,1,1.52,0,0,3,332,1,leading/trailing,0
1,2,377,3,7,1,4.35,0,0,3,332,1,IN/Out,0
0,4,20,2,1,1,2.72,0,0,2,332,1,leading/trailing,0
1,4,890,3,7,1,1.66,0,0,3,332,1,leading/trailing,0
1,1,248,2,5,1,10.8,0,0,3,332,2,IN/Out,0
1,4,690,3,6,1,3.5,0,0,3,332,1,leading/trailing,0
0,4,480,3,1,1,1.99,0,0,3,332,1,leading/trailing,0
1,1,266,2,3,1,2.22,0,0,3,332,1,IN/Out,0
1,1,74,2,5,1,0.938,0,0,2,332,1,IN/Out,0
1,3,5,1,4,1,1.18,0,0,2,332,1,leading/trailing,0
1,1,473,3,4,1,2.92,0,0,3,332,1,IN/Out,0
1,2,498,3,7,1,2.1,0,0,3,332,1,IN/Out,0
1,4,40,2,4,1,1.8,0,0,2,332,1,leading/trailing,0
1,2,684,1,7,1,1.93,0,0,3,332,1,IN/Out,0
1,3,69,1,4,0,2.95,0,0,3,332,1,leading/trailing,0
1,2,41,2,5,1,1.99,0,0,2,332,1,IN/Out,0
1,3,9,1,6,1,1.54,0,0,2,332,1,leading/trailing,0
0,4,40,2,1,1,1.49,0,0,2,332,1,leading/trailing,0
1,3,88,1,6,1,1.51,0,0,3,332,1,leading/trailing,0
1,4,50,2,5,1,3.19,0,0,2,332,1,leading/trailing,0
0,1,435,3,2,1,2.86,0,0,3,332,1,IN/Out,0
1,2,298,1,6,1,2.94,0,0,3,332,1,IN/Out,0
0,2,30,1,1,1,1.17,0,0,2,332,1,IN/Out,0
1,3,8,1,5,1,1.98,0,0,2,332,1,leading/trailing,0
0,2,129,1,1,1,1.67,0,0,3,332,1,IN/Out,0
0,3,64,1,1,1,1.34,0,0,3,332,1,leading/trailing,0
1,2,64,1,7,1,1.2,0,0,2,332,1,IN/Out,0
1,3,2,1,5,1,1.34,0,0,2,332,1,leading/trailing,0
1,2,552,1,5,1,1.17,0,0,3,332,1,IN/Out,0
1,4,40,2,6,1,1.9,0,0,2,332,1,leading/trailing,0
0,4,810,3,1,1,2.75,0,0,3,332,1,leading/trailing,0
